,pred_err,pred_err,pred_err,pred_err,pred_err,pred_err,pred_err,pred_err,pred_err
barcode,l1Sp,l2Sp,l3Sp,l4Sp,l5Sp,l6Sp,l7Sp,l8Sp,l9Sp
count,835.0,835.0,1002.0,1002.0,1002.0,1169.0,1169.0,1169.0,1169.0
mean,-0.07668776762879505,-1.0817187379229205,-0.009557722176234913,2.0136632091501077,0.41024017570061894,-0.07177009353427664,-0.41654648323627347,-0.7504716585956932,-0.4103857821558065
std,1.058242069647136,1.2731491700807247,1.1067747632314007,1.8514265428982783,1.244681562339625,0.9218468673101463,0.9264781343834644,1.0703197318133655,0.8493665697151336
min,-3.3641218439238685,-8.037146641006252,-3.973423856180794,-2.4648406099046554,-3.816353740322757,-4.465157287463164,-5.283651316068028,-6.132085557987285,-4.618186588257883
25%,-0.7335368316356954,-1.7659167209965116,-0.5628400954041718,0.28280831570162523,-0.15363330141786286,-0.49309851299332763,-0.8318097942824458,-1.2104051142106869,-0.8413714024866863
50%,-0.12813324173851726,-0.9242935186737231,0.0038256507819673935,1.879032199207717,0.24712120869591203,-0.09957395267631874,-0.24931981795185698,-0.505374320969465,-0.2437755581218255
75%,0.531165321348448,-0.04439648025818821,0.4373296685657097,3.2645965869184477,1.0140404573006307,0.3322866591365141,0.05428625023532607,-0.10702865753091106,0.008191465425568367
max,4.657648647268161,1.8589765054368996,6.048532115507825,9.619941026379834,7.418748330489521,5.362750043607221,5.193341907934723,4.885050953838714,4.3594275209757
